row,col,value
4,55,-1.07116800761e-13
4,56,-1.13867864731e-13
4,57,-3.14926588802e-13
4,58,1.16212704256e-14
4,59,-4.30285397824e-14
4,60,1.25927846261e-14
4,61,-5.27319192876e-14
4,62,-1.01140423886e-13
4,63,-4.18901164576e-14
4,64,-5.16394489759e-14
4,65,0
5,1,-1.31472100709e-16
5,2,-7.00109974006e-13
5,3,0
5,4,-1.30850479859e-15
5,5,1212.616097301658
5,6,-9.72243695479e-15
5,7,-3.19155684924e-15
5,8,-7.59575523442e-14
5,9,-5.27112530132e-14
5,10,6.54992857131e-15
5,11,1.04888837183e-15
5,12,3.63558054523e-14
5,13,-2.37905930472e-13
5,14,2.76626953532e-14
5,15,8.40769346250e-15
5,16,2.48764445916e-14
5,17,-2.01441544256e-13
5,18,-7.48267082159e-14
5,19,5.23401919437e-15
5,20,6.37432132092e-14
5,21,6.09169433437e-14
5,22,-2.77205354666e-14
5,23,-5.92946066707e-14
5,24,-1.28431937924e-13
5,25,6.67028098061e-14
5,26,-4.40349120733e-14
5,27,-4.11413612777e-14
5,28,6.39338006496e-14
5,29,9.90229611415e-14
5,30,1.00236393597e-13
5,31,-3.51765498061e-14
5,32,-4.91208397007e-14
5,33,-5.10915764349e-13
5,34,7.00109974006e-13
5,35,-7.00109974006e-13
5,36,-6.43266555145e-13
5,37,-2587.396678821716
5,38,-7.00109974006e-13
5,39,-6.36691078805e-13
5,40,-5.41492980908e-13
5,41,-6.64499412387e-13
5,42,-7.56953392866e-13
5,43,-6.67951198796e-13
5,44,-7.99879876087e-13
5,45,0
5,46,-7.35854100945e-13
5,47,-6.51135005429e-13
5,48,-7.23712684589e-13
5,49,-3.40553998652e-13
5,50,-6.43266555145e-13
5,51,-7.00109974006e-13
5,52,-8.47409812279e-13
5,53,-8.86562108116e-13
5,54,-6.43266555145e-13
5,55,-6.45295889937e-13
5,56,-3.87705040165e-13
5,57,-8.33583660472e-13
5,58,-6.43266555145e-13
5,59,-7.00109974006e-13
5,60,-8.11895508651e-13
5,61,-1.03571085346e-12
5,62,-7.56953392866e-13
5,63,-7.00109974006e-13
5,64,-5.86423136284e-13
5,65,0
