phi,p_val32,p_val43,p_val54,p_val65,p_val76,p_val_joint,test_type,add,not_sig32,min_phi32,max_phi32
.23999999,0,,,,,,joint,,0,-1.78,-1.4400001
.25999999,0,,,,,,joint,,0,-1.78,-1.4400001
.28,0,,,,,,joint,,0,-1.78,-1.4400001
.30000001,0,,,,,,joint,,0,-1.78,-1.4400001
.31999999,0,,,,,,joint,,0,-1.78,-1.4400001
.34,0,,,,,,joint,,0,-1.78,-1.4400001
.36000001,0,,,,,,joint,,0,-1.78,-1.4400001
.38,0,,,,,,joint,,0,-1.78,-1.4400001
.40000001,0,,,,,,joint,,0,-1.78,-1.4400001
.41999999,0,,,,,,joint,,0,-1.78,-1.4400001
.44,0,,,,,,joint,,0,-1.78,-1.4400001
.46000001,0,,,,,,joint,,0,-1.78,-1.4400001
.47999999,0,,,,,,joint,,0,-1.78,-1.4400001
.5,0,,,,,,joint,,0,-1.78,-1.4400001
.51999998,0,,,,,,joint,,0,-1.78,-1.4400001
.54000002,0,,,,,,joint,,0,-1.78,-1.4400001
.56,0,,,,,,joint,,0,-1.78,-1.4400001
.57999998,0,,,,,,joint,,0,-1.78,-1.4400001
.60000002,0,,,,,,joint,,0,-1.78,-1.4400001
.62,0,,,,,,joint,,0,-1.78,-1.4400001
.63999999,0,,,,,,joint,,0,-1.78,-1.4400001
.66000003,0,,,,,,joint,,0,-1.78,-1.4400001
.68000001,0,,,,,,joint,,0,-1.78,-1.4400001
.69999999,0,,,,,,joint,,0,-1.78,-1.4400001
.72000003,0,,,,,,joint,,0,-1.78,-1.4400001
.74000001,0,,,,,,joint,,0,-1.78,-1.4400001
.75999999,0,,,,,,joint,,0,-1.78,-1.4400001
.77999997,0,,,,,,joint,,0,-1.78,-1.4400001
.80000001,0,,,,,,joint,,0,-1.78,-1.4400001
.81999999,0,,,,,,joint,,0,-1.78,-1.4400001
.83999997,0,,,,,,joint,,0,-1.78,-1.4400001
.86000001,0,,,,,,joint,,0,-1.78,-1.4400001
.88,0,,,,,,joint,,0,-1.78,-1.4400001
.89999998,0,,,,,,joint,,0,-1.78,-1.4400001
.92000002,0,,,,,,joint,,0,-1.78,-1.4400001
.94,0,,,,,,joint,,0,-1.78,-1.4400001
.95999998,0,,,,,,joint,,0,-1.78,-1.4400001
.98000002,0,,,,,,joint,,0,-1.78,-1.4400001
