phi,wald,p_value
-1.4199999999999986,3.904669035785892,0.04815211100366967
-1.3999999999999986,5.056638017998634,0.024531782731008644
-1.3799999999999986,6.3955178204765595,0.011440885322530625
-1.3599999999999985,7.935626709001563,0.004847083675815322
-1.3399999999999985,9.692371805480347,0.0018503454618483683
-1.3199999999999985,11.682333835318031,0.0006309633695191774
-1.2999999999999985,13.923358173044823,0.00019041735918590152
-1.2799999999999985,16.434652524574094,5.035621451632277e-05
-1.2599999999999985,19.236891566366022,1.1546043658494654e-05
-1.2399999999999984,22.35232883159311,2.2693768964021643e-06
-1.2199999999999984,25.8049160878984,3.7772515915079907e-07
-1.1999999999999984,29.620430386575922,5.2548149054310045e-08
-1.1799999999999984,33.82660887421391,6.024914567248629e-09
-1.1599999999999984,38.45329133927314,5.607991848677329e-10
-1.1399999999999983,43.532570310859434,4.169609102433469e-11
-1.1199999999999983,49.09894832688132,2.4337198922808057e-12
-1.0999999999999983,55.189501734166335,1.0946799022804043e-13
-1.0799999999999983,61.84405006254236,3.6637359812630166e-15
-1.0599999999999983,69.10532961506726,1.1102230246251565e-16
-1.0399999999999983,77.01916942218818,0.0
-1.0199999999999982,85.63466710106891,0.0
-0.9999999999999982,95.00436142293796,0.0
-0.9799999999999982,105.18439749921964,0.0
-0.9599999999999982,116.23467942776136,0.0
-0.9399999999999982,128.2190039688299,0.0
-0.9199999999999982,141.20516732168977,0.0
-0.8999999999999981,155.26503532288814,0.0
-0.8799999999999981,170.47456536708773,0.0
-0.8599999999999981,186.9137660477767,0.0
-0.8399999999999981,204.6665779277116,0.0
-0.8199999999999981,223.82065599484412,0.0
-0.799999999999998,244.46703128234972,0.0
-0.779999999999998,266.69962591132406,0.0
-0.759999999999998,290.614592581007,0.0
-0.739999999999998,316.30944647716774,0.0
-0.719999999999998,343.88195496827694,0.0
-0.699999999999998,373.42874868270184,0.0
-0.6799999999999979,405.0436170936503,0.0
-0.6599999999999979,438.81545319264,0.0
-0.6399999999999979,474.8258159454976,0.0
-0.6199999999999979,513.1460868512893,0.0
-0.5999999999999979,553.8342089968274,0.0
-0.5799999999999979,596.9310144596814,0.0
-0.5599999999999978,642.4561696001441,0.0
-0.5399999999999978,690.4037982706409,0.0
-0.5199999999999978,740.737880349933,0.0
-0.4999999999999978,793.387566623402,0.0
-0.47999999999999776,848.242599189462,0.0
-0.45999999999999774,905.1490762816227,0.0
-0.4399999999999977,963.9058471728815,0.0
-0.4199999999999977,1024.2618606908272,0.0
-0.3999999999999977,1085.9148125967572,0.0
-0.3799999999999977,1148.5114348363345,0.0
