row,col,value
10,16,.0003642890129293
10,17,.0002658259067937
10,18,.0002757319786977
10,19,.000368311547383
10,20,.0003329528164678
10,21,.0002860634737951
10,22,.0003558651564172
10,23,.0002317375196871
10,24,.0003596249369209
10,25,.0003190561694374
10,26,.0002991729316567
10,27,.0004353112756676
10,28,.0003651470135811
10,29,.0003256971213084
10,30,.0003571386081999
10,31,.0006551766003117
10,32,.0001468817753659
10,33,-.0000689450091073
10,34,.0005331735656569
10,35,-1.06853327051e-18
10,36,-.0001468817753556
11,1,0
11,2,.0323743911938182
11,3,-.0282582665163632
11,4,.0277210244810076
11,5,-.0470674563094728
11,6,.0297799103370015
11,7,-.029790134182826
11,8,.019858341393998
11,9,-.0644618008633485
11,10,-.0030295395786263
11,11,79.92000784754383
11,12,-.0024974343776792
11,13,-.073466088562941
11,14,.0028401121078317
11,15,-.0464465590075635
11,16,.0212293452301416
11,17,-.0888647345453778
11,18,-.0419415178021971
11,19,-.05481411409587
11,20,-.0082723141539619
11,21,-.0504062228884555
11,22,-.0455838705949205
11,23,-.0435127574339538
11,24,-.023248519562231
11,25,-.0993749802321619
11,26,-.0428404123374848
11,27,-.0408932376609109
11,28,-.0234125821717985
11,29,-.1300359921447464
11,30,-.061409282228876
11,31,-.0705905875507042
11,32,.019107550706795
11,33,-.5840148617729432
11,34,.0038221995673298
11,35,1.71671412888e-16
11,36,-.0191075507053235
12,1,0
12,2,.0002174382195632
12,3,.0001958885864882
12,4,.0002713996550841
12,5,.0002401902295607
12,6,.0002547090993459
12,7,.0002556260771695
12,8,.0002793211430692
12,9,.0002510214652133
12,10,.0003516906416486
12,11,-.0024974343776792
12,12,.0018445440863098
12,13,.0002834771030591
12,14,.0002864021646901
12,15,.0003065257441541
12,16,.0003051301836319
12,17,.0002226320901706
12,18,.0002309372164664
12,19,.0003084882858714
12,20,.00027888475845
12,21,.0002395860490116
12,22,.0002980303403132
12,23,.0001940439438722
12,24,.0003012164974237
12,25,.0002671960567666
12,26,.0002505710257971
12,27,.0003646261210705
12,28,.0003058136896658
12,29,.0002727286146577
12,30,.0002990536560182
12,31,.0005487816209853
12,32,.0001230313565746
12,33,-.0000580625926972
12,34,.0004466011752182
12,35,-9.57896790785e-19
12,36,-.000123031356566
13,1,0
13,2,.0001733384141621
13,3,.0002166487085369
13,4,.0002299498764814
13,5,.0002780693880206
13,6,.0002118731691392
13,7,.000274708029164
13,8,.0002458620156233
13,9,.0003077268588663
13,10,.0003384689342699
13,11,-.073466088562941
13,12,.0002834771030591
13,13,.0019589231396743
13,14,.0002707473491653
13,15,.0003402900457054
13,16,.0002695271127785
13,17,.0003077561568348
13,18,.0002638053026615
13,19,.0003518742673266
13,20,.0002745058303463
13,21,.0002808110537016
13,22,.0003301738169298
13,23,.0002269821711539
13,24,.0003113406075492
13,25,.0003581367031425
13,26,.0002834343945109
13,27,.0003909780519114
13,28,.0003153058951797
13,29,.0003925446063272
13,30,.0003446236256146
13,31,.0005515997221352
13,32,.0000981612006048
13,33,.0005521498429448
13,34,.0004218334988426
13,35,-3.09009492680e-18
13,36,-.0000981612005981
14,1,0
14,2,.0002139694322992
14,3,.0001887904257145
14,4,.0002660138725671
14,5,.0002304057461604
14,6,.0002499307104619
14,7,.000246615372486
14,8,.0002730417422924
14,9,.0002399106768359
14,10,.0003419769802351
14,11,.0028401121078317
14,12,.0002864021646901
14,13,.0002707473491653
14,14,.0062068445074536
14,15,.0002948630145987
14,16,.0002979123831262
14,17,.0002105665033775
14,18,.000221736237232
14,19,.0002964971555723
14,20,.000270763463677
14,21,.0002295440001913
14,22,.0002862280031452
14,23,.0001849578721017
14,24,.0002914030348088
14,25,.0002529653106483
14,26,.0002407679923251
14,27,.000352325893786
14,28,.0002952432935858
14,29,.0002560343891253
14,30,.0002854747946806
14,31,.00053257618879
14,32,.0001207639781316
14,33,-.0000977139943305
14,34,.0004348073401741
14,35,-5.72285356287e-19
14,36,-.0001207639781231
15,1,0
15,2,.0002044877392641
15,3,.0002209669085833
15,4,.0002634636904519
15,5,.0002784272528287
15,6,.000244874499326
15,7,.0002834263324396
15,8,.0002767171549489
15,9,.0003014408502383
15,10,.000365982485139
15,11,-.0464465590075635
15,12,.0003065257441541
15,13,.0003402900457054
15,14,.0002948630145987
15,15,.0022738051955006
15,16,.0003028080334873
15,17,.0002885404853484
15,18,.0002655375712164
15,19,.0003544535699829
15,20,.0002939225776541
15,21,.0002798038102857
15,22,.0003363078437062
15,23,.000226110456313
15,24,.0003264658846807
15,25,.0003393419735046
15,26,.000286412065751
15,27,.0004038617371957
15,28,.000330833476996
15,29,.0003626503942042
15,30,.0003453440105876
15,31,.000584438789667
15,32,.0001157052291584
15,33,.0003085858262075
15,34,.0004599082594712
15,35,-1.23714642509e-19
15,36,-.0001157052291503
16,1,0
16,2,.0002368923423675
16,3,.0001938590408779
16,4,.0002912365236764
16,5,.0002336135268943
16,6,.0002746031867616
16,7,.0002554915301299
16,8,.0002967230520775
16,9,.0002386744835667
16,10,.0003642890129293
16,11,.0212293452301416
16,12,.0003051301836319
16,13,.0002695271127785
16,14,.0002979123831262
16,15,.0003028080334873
16,16,.0007332469110405
16,17,.0002004291546948
16,18,.0002257548832825
16,19,.0003018044284618
16,20,.0002868967598316
16,21,.0002318988268876
16,22,.0002944986599043
16,23,.0001877063068562
16,24,.0003050506960026
16,25,.0002440681354319
16,26,.000245851846123
16,27,.0003648523527183
16,28,.0003097724158391
16,29,.0002403094282867
16,30,.0002909823399492
16,31,.0005618261418264
16,32,.0001339152896689
16,33,-.000257025846851
16,34,.0004651827119319
16,35,-7.98359632930e-19
16,36,-.0001339152896595
17,1,0
17,2,.000119269148082
17,3,.0001832820703788
17,4,.0001659388087962
17,5,.0002403875825653
17,6,.0001507956025738
17,7,.000229212112067
17,8,.0001823431548607
17,9,.0002726020042914
17,10,.0002658259067937
17,11,-.0888647345453778
17,12,.0002226320901706
17,13,.0003077561568348
17,14,.0002105665033775
17,15,.0002885404853484
17,16,.0002004291546948
17,17,.0013444883376162
17,18,.0002266820462983
17,19,.0003020700493818
17,20,.0002184562840623
17,21,.0002441157648431
17,22,.0002798327741331
17,23,.0001974700742735
17,24,.0002545925451548
17,25,.000328652000232
17,26,.0002424454312985
17,27,.0003257275331137
17,28,.0002576553558901
17,29,.0003694856903519
17,30,.0002977802291423
17,31,.000446857812437
17,32,.0000676239543312
17,33,.0007189180270396
17,34,.000327555580469
17,35,-5.44540747258e-19
17,36,-.0000676239543266
18,1,0
18,2,.0001504697114263
18,3,.0001692678790968
18,4,.0001953759126546
18,5,.0002144473392531
18,6,.0001811691810284
18,7,.0002163980934736
18,8,.0002061955819332
18,9,.0002336835166755
18,10,.0002757319786977
18,11,-.0419415178021971
18,12,.0002309372164664
18,13,.0002638053026615
18,14,.000221736237232
18,15,.0002655375712164
18,16,.0002257548832825
18,17,.0002266820462983
18,18,.0029778563026663
18,19,.0002725145770844
18,20,.0002220516045288
18,21,.0002158198454167
18,22,.0002577480990925
18,23,.000174444081664
18,24,.0002481036147552
18,25,.0002657405241682
18,26,.000220004880845
18,27,.0003082335139216
18,28,.0002513948172676
18,29,.0002862340169431
18,30,.0002659643388876
18,31,.0004428333470052
18,32,.0000851665231962
18,33,.0002931782419382
18,34,.0003456995707941
18,35,-4.89756631055e-19
18,36,-.0000851665231903
19,1,0
19,2,.0002011887581926
19,3,.0002258653442861
19,4,.0002611683849764
19,5,.0002861536604541
19,6,.0002422016381758
19,7,.0002888814685004
19,8,.0002755972637689
19,9,.0003116423078743
19,10,.000368311547383
19,11,-.05481411409587
19,12,.0003084882858714
19,13,.0003518742673266
19,14,.0002964971555723
19,15,.0003544535699829
19,16,.0003018044284618
19,17,.0003020700493818
19,18,.0002725145770844
19,19,.0017878050708398
19,20,.0002965713036021
19,21,.0002879814706599
19,22,.0003442073928042
19,23,.0002330729423471
19,24,.0003312862325719
19,25,.0003543479952019
19,26,.0002936191638086
19,27,.0004113429642225
19,28,.0003358657828819
19,29,.0003816688557353
19,30,.0003553571723909
19,31,.0005923176310211
19,32,.000113939591251
19,33,.0003879007133632
19,34,.0004618201628647
19,35,-6.58464631644e-19
19,36,-.0001139395912431
20,1,0
20,2,.000202895322171
20,3,.000187761639931
20,4,.0002543691053382
20,5,.0002312518925106
20,6,.0002384019280907
20,7,.0002443671904484
20,8,.0002625528653319
20,9,.0002430838228317
20,10,.0003329528164678
20,11,-.0082723141539619
20,12,.00027888475845
20,13,.0002745058303463
20,14,.000270763463677
20,15,.0002939225776541
20,16,.0002868967598316
20,17,.0002184562840623
20,18,.0002220516045288
20,19,.0002965713036021
20,20,.0012393196095431
20,21,.000230954171435
20,22,.0002857294849159
20,23,.0001870330909727
20,24,.000286933282869
20,25,.0002612685425968
20,26,.0002406998606844
20,27,.000348485779337
20,28,.0002912606056443
20,29,.0002689038036422
