name_stata,coef,se,name_norm,name_py,coef_py,se_py,delta_coef,delta_se
mu:switcher_18,11.49397148656744,0.0545697379750563,mu:switcher_18,mu:switcher_18,11.497012633869854,0.055544207951095,-0.0030411473024134494,-0.0009744699760386999
mu:switcher_19,11.49235467023972,0.0422824440026804,mu:switcher_19,mu:switcher_19,11.498698737286468,0.0449318166634811,-0.0063440670467471705,-0.002649372660800703
mu:switcher_20,11.32965152749941,0.0352039715024186,mu:switcher_20,mu:switcher_20,11.334510298852951,0.0349852468396948,-0.004858771353541513,0.00021872466272380292
mu:switcher_21,11.52434918924549,0.0678282118448091,mu:switcher_21,mu:switcher_21,11.527303873200484,0.0689438024180299,-0.0029546839549947634,-0.0011155905732208038
mu:switcher_22,11.45824278568607,0.0634634355189065,mu:switcher_22,mu:switcher_22,11.481969821277056,0.0633509015467649,-0.0237270355909871,0.00011253397214160132
mu:switcher_23,11.52141351683509,0.0759949011912766,mu:switcher_23,mu:switcher_23,11.536625993488409,0.074950822105445,-0.015212476653319484,0.0010440790858315951
mu:switcher_24,11.3814360132993,0.0254795448296707,mu:switcher_24,mu:switcher_24,11.386358941764517,0.0259911653322594,-0.0049229284652163585,-0.0005116205025887006
mu:switcher_25,11.69312817482329,0.0559662831842834,mu:switcher_25,mu:switcher_25,11.694872868218098,0.0630975843777132,-0.0017446933948086496,-0.0071313011934298065
mu:switcher_26,11.48251094012183,0.063898846689359,mu:switcher_26,mu:switcher_26,11.485869413407473,0.0646246752296927,-0.003358473285642205,-0.0007258285403337061
mu:switcher_27,11.42195205884335,0.049641742282287,mu:switcher_27,mu:switcher_27,11.28073515851459,0.0359394345526577,0.14121690032876089,0.013702307729629305
mu:switcher_28,11.37835211234041,0.0352684825419907,mu:switcher_28,mu:switcher_28,11.39516461292959,0.0353984222881819,-0.016812500589178825,-0.00012993974619120163
mu:switcher_29,11.78999090966984,0.0615724715805099,mu:switcher_29,mu:switcher_29,11.794268654955156,0.0723905912772177,-0.0042777452853162146,-0.010818119696707797
mu:switcher_30,11.50367092923932,0.0467118888712831,mu:switcher_30,mu:switcher_30,11.565091138087114,0.0490772953940248,-0.0614202088477942,-0.0023654065227416976
mu:switcher_31,11.09932730469777,0.1258538838441881,mu:switcher_31,mu:switcher_31,11.566472270889646,0.1185649176693215,-0.46714496619187607,0.007288966174866601
Delta_base:_cons,0.8483075961609827,0.0472709291504662,Delta_base,Delta_base:_cons,0.853780718874843,0.0477405236352243,-0.005473122713860246,-0.0004695944847580985
phi:_cons,-2.445469542620093,0.0704574065695311,phi,phi:_cons,-2.463889953947913,0.199087459914289,0.01842041132782013,-0.1286300533447579
kappa:_cons,11.28753291886754,0.0291383815984519,kappa,kappa:_cons,11.295803626813566,0.0289696559724783,-0.008270707946024913,0.00016872562597360086
xb:unbalanced,11.37151246783156,0.0050272161959578,xb:unbalanced,xb:unbalanced,11.37151238401123,0.0050272161408348,8.382032845588583e-08,5.512299991461411e-11
xb:unbalanced_choice,-0.4711791535405895,0.0478343077887608,xb:unbalanced_choice,xb:unbalanced_choice,-0.4766521924595316,0.0482984249850497,0.00547303891894213,-0.0004641171962889018
