ster,country,spec3,covs2,suffix,N,coef_name,coef_value,coef_se
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,period_4,.7669786739748226,.0060510959324076
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,female,.0638708834298232,.0067481343756404
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,age2,-.0000234222472232,2.53152647473e-06
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,education_max,.0182214080289739,.0020557397738673
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,education_max2,.0016750999655578,.0001317048446493
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,unbalanced,9.1790850750261,.012910295839182
grc_CHN_cuu_ca,CHN,cuu,ca,,109535,unbalanced_choice,.2883868106096745,.0228833076273055
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,never,13.64395764842912,.017951525767714
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_2,13.83244689587433,.0282685931756269
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_3,13.02000029236311,.3897004060064783
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_4,13.76259828688337,.1588576905499517
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_5,13.85382315495512,.0958167661127378
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_6,14.36064175105387,.1022250513593713
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,switcher_7,13.89103267571955,.0295681870244778
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,_cons,.1343562677740308,.0187236378521883
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,_cons,-.7190421621435303,.1242782522525498
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,_cons,14.94031726056503,.4699855940376406
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,period_2,.1512556354216684,.0061162974589125
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,period_3,.3875707473748083,.0068992566071715
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,female,.0023528552563522,.009737804905804
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,age2,3.02356606490e-06,3.85116106654e-06
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,education_max,-.0047941572011184,.0035051074357857
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,education_max2,.0046532184678943,.0002431043601678
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,unbalanced,13.76984710997459,.0202413344149737
grc_TZA_cuu_ca,TZA,cuu,ca,,29864,unbalanced_choice,.3704110519656573,.0277095638657287
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,never,14.45798252648746,.0362327421117047
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_2,14.47292687459479,.0559759955805826
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_3,14.92199077271233,.1100940096441509
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_4,14.50462698166124,.0564151838440902
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_5,15.01612270483208,.1222586907468324
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_6,14.52800689305549,.0929092159512871
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_7,14.99358822437563,.1862960549604315
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_8,14.61646927621324,.0607444390796779
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_9,14.42049309160003,.1010747331024604
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_10,14.7474222067133,.085974679528777
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_11,15.25575417268485,.0915221314068903
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_12,14.80735139030991,.1254514562267808
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_13,14.58880258757661,.2007069444134031
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_14,14.52102479796861,.1492218644781535
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_15,15.38071071243409,.1509783418979504
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_16,14.63713065295054,.0606630766270645
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_17,14.61278554461626,.0819055966864768
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_18,14.50526474762915,.122183048849617
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_19,14.83867641989955,.1779044355740185
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_20,14.54159784154795,.0992392529523227
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_21,14.44905290638831,.0333054023705645
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_22,14.90090363252488,.040078461366174
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_23,14.96434002097484,.1342479008097568
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_24,14.71670788171928,.069185385875924
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_25,14.6459688076205,.1219343610034981
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_26,14.58630832393312,.0769883557022788
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_27,14.36313365850038,.0498511916127689
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_28,14.73189441878677,.0952054950819578
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_29,14.68662407212716,.1173188910930635
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_30,14.88138859021057,.1321874676735348
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,switcher_31,14.56248294386834,.0973119767058552
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,_cons,.0643957943581462,.0317635931635764
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,_cons,.444105794121907,.1959599350581503
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,_cons,14.76411200797691,.0425873537365108
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,period_2,.0917877975760326,.0139986935157178
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,period_3,-.0498113345192651,.0145481238010817
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,period_4,.0162784957476174,.015257694310511
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,period_5,.334391995005739,.0167960146502258
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,female,-.4822455566036753,.0120638591045486
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,age2,-.0000347124985062,5.48964369173e-06
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,education_max,.0354918341198202,.0045755394193253
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,education_max2,.0031802599202,.0002531613357788
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,unbalanced,14.36886341136327,.0251792444994325
grc_IDN_iuu_ca,IDN,iuu,ca,,58045,unbalanced_choice,.205872348648128,.033734877646015
