country,spec,delta,phi_hat,stata_point,python_point,abs_err,rel_err,note
IDN,covs_2,avg_md,-0.3208208549002495,0.0446187132479942,0.041060433092777925,-0.0035582801552162743,-0.07974860537638284,
IDN,covs_2,avg_overall,-0.3208208549002495,0.0446187132479942,0.005696359193593336,-0.038922354054400865,-0.8723325085164931,
IDN,covs_2,always,-0.3208208549002495,-0.0526333996904985,-0.0015464415805649752,0.05108695810993353,0.9706186263920143,
IDN,covs_2,always_md,-0.3208208549002495,-0.0526333996904985,-0.05893471757386024,-0.006301317883361739,-0.11972089814481937,
IDN,covs_all,never,-0.5256257839300001,0.0714677765006221,0.09967658310366705,0.02820880660304495,0.3947066494058256,
IDN,covs_all,never_md,-0.5256257839300001,0.0714677765006221,0.068259177577901,-0.003208598922721101,-0.04489574294637768,
IDN,covs_all,avg,-0.5256257839300001,0.03761793822422,0.06743091543431526,0.029812977210095258,0.7925202341605319,
IDN,covs_all,avg_md,-0.5256257839300001,0.03761793822422,0.036013509908549214,-0.0016044283156707861,-0.042650618067041964,
IDN,covs_all,avg_overall,-0.5256257839300001,0.03761793822422,0.004799143139176756,-0.03281879508504325,-0.8724240783593274,
IDN,covs_all,always,-0.5256257839300001,-0.0964009239754523,-0.037115393395414066,0.059285530580038236,0.6149892359448215,
IDN,covs_all,always_md,-0.5256257839300001,-0.0964009239754523,-0.10334455269932113,-0.006943628723868833,-0.07202865322781524,
CHN,covs_0,never,-0.8975059138956505,0.4239654989376396,0.5413088833522376,0.11734338441459802,0.2767757864935559,
CHN,covs_0,never_md,-0.8975059138956505,0.4239654989376396,0.46203197345277747,0.038066474515137894,0.08978672701086235,
CHN,covs_0,avg,-0.8975059138956505,0.4717379427985703,0.5776828911343846,0.10594494833581436,0.22458432685592203,
CHN,covs_0,avg_md,-0.8975059138956505,0.4717379427985703,0.4984059812349246,0.02666803843635429,0.05653146803953696,
CHN,covs_0,avg_overall,-0.8975059138956505,0.4717379427985703,0.02455554426550139,-0.4471823985330689,-0.9479466414767775,
CHN,covs_0,always,-0.8975059138956505,-0.1085692110235787,1.03569411781554,1.1442633288391189,10.539482769112245,
CHN,covs_0,always_md,-0.8975059138956505,-0.1085692110235787,0.2622162235031986,0.3707854345267773,3.415198756913241,
CHN,covs_trend,never,-0.0727305394379129,0.0898163656040892,0.07720776800812848,-0.012608597595960724,-0.1403819616965961,
CHN,covs_trend,never_md,-0.0727305394379129,0.0898163656040892,0.0839332139618754,-0.005883151642213799,-0.06550200069491509,
CHN,covs_trend,avg,-0.0727305394379129,0.0806665376099655,0.0676947557907438,-0.012971781819221706,-0.16080746990706563,
CHN,covs_trend,avg_md,-0.0727305394379129,0.0806665376099655,0.07442020174449072,-0.006246335865474781,-0.07743403957260106,
CHN,covs_trend,avg_overall,-0.0727305394379129,0.0806665376099655,0.0028774983609047623,-0.07778903924906075,-0.9643284756460246,
CHN,covs_trend,always,-0.0727305394379129,0.0588387110662546,0.045234601984256675,-0.013604109081997925,-0.2312101817913582,
CHN,covs_trend,always_md,-0.0727305394379129,0.0588387110662546,0.05248755944677262,-0.006351151619481979,-0.10794171905517004,
CHN,covs_1,never,-0.0727629607531192,0.0898163592419325,0.07720089105264122,-0.012615468189291282,-0.1404584676529786,
CHN,covs_1,never_md,-0.0727629607531192,0.0898163592419325,0.08393491216943472,-0.0058814470724977835,-0.06548302694674264,
CHN,covs_1,avg,-0.0727629607531192,0.0806629904090172,0.06768403069904073,-0.012978959709976465,-0.1609035276793503,
CHN,covs_1,avg_md,-0.0727629607531192,0.0806629904090172,0.07441805181583423,-0.0062449385931829665,-0.07742012243182164,
CHN,covs_1,avg_overall,-0.0727629607531192,0.0806629904090172,0.0028770424698473882,-0.0777859479391698,-0.9643325587700283,
CHN,covs_1,always,-0.0727629607531192,0.0588288717954752,0.04521683217789451,-0.013612039617580687,-0.23138365911391917,
CHN,covs_1,always_md,-0.0727629607531192,0.0588288717954752,0.05247929132454702,-0.006349580470928179,-0.10793306546831576,
CHN,covs_2,never,-0.1606168412126903,0.1040594618431757,0.09182089864508045,-0.012238563198095256,-0.11761124823554785,
CHN,covs_2,never_md,-0.1606168412126903,0.1040594618431757,0.09937905357628742,-0.004680408266888286,-0.04497820941974467,
CHN,covs_2,avg,-0.1606168412126903,0.0911422850620245,0.07809137264391205,-0.013050912418112445,-0.14319272782365494,
CHN,covs_2,avg_md,-0.1606168412126903,0.0911422850620245,0.08564952757511902,-0.005492757486905475,-0.060265742549328476,
CHN,covs_2,avg_overall,-0.1606168412126903,0.0911422850620245,0.0033194269505642444,-0.08782285811146026,-0.9635797264869398,
CHN,covs_2,always,-0.1606168412126903,0.0315587886377624,0.016961857433905648,-0.014596931203856755,-0.46253141625310856,
CHN,covs_2,always_md,-0.1606168412126903,0.0315587886377624,0.025966273179066104,-0.005592515458696299,-0.17720944624612253,
CHN,covs_all,never,-0.20469001036356,0.0979324974967014,0.08283852711002088,-0.01509397038668052,-0.154126268322616,
CHN,covs_all,never_md,-0.20469001036356,0.0979324974967014,0.09457934508844412,-0.0033531524082572733,-0.03423942505265135,
CHN,covs_all,avg,-0.20469001036356,0.0900385984633068,0.07436500354057199,-0.015673594922734804,-0.17407639823627669,
CHN,covs_all,avg_md,-0.20469001036356,0.0900385984633068,0.08610582151899523,-0.0039327769443115584,-0.04367878900196646,
CHN,covs_all,avg_overall,-0.20469001036356,0.0900385984633068,0.003161030323503018,-0.08687756813980377,-0.9648924974682804,
CHN,covs_all,always,-0.20469001036356,0.0329870066793145,0.0139835390959382,-0.0190034675833763,-0.5760894817805036,
CHN,covs_all,always_md,-0.20469001036356,0.0329870066793145,0.02874610731640067,-0.00424089936291383,-0.12856272180565007,
TZA,covs_0,never,-0.9984977927154336,0.5388091759390597,0.6080931368282669,0.06928396088920719,0.12858719558451492,
TZA,covs_0,never_md,-0.9984977927154336,0.5388091759390597,0.5720193953027211,0.03321021936366131,0.06163632849381437,
TZA,covs_0,avg,-0.9984977927154336,0.0853743974460346,0.1543795753399395,0.06900517789390491,0.8082654748752198,
TZA,covs_0,avg_md,-0.9984977927154336,0.0853743974460346,0.11830583381439369,0.03293143636835909,0.38572964909269364,
TZA,covs_0,avg_overall,-0.9984977927154336,0.0853743974460346,0.01763289350001787,-0.06774150394601673,-0.7934639186043606,
TZA,covs_0,always,-0.9984977927154336,-138.5785577542026,-147.51164490770438,-8.933087153501788,-0.06446226096064908,
TZA,covs_0,always_md,-0.9984977927154336,-138.5785577542026,-171.52546902915918,-32.94691127495659,-0.23774898374534012,
TZA,covs_trend,never,-0.514977367057874,0.3008372345500631,0.27710146119946333,-0.023735773350599787,-0.07889905445414488,
TZA,covs_trend,never_md,-0.514977367057874,0.3008372345500631,0.2963587576205655,-0.004478476929497599,-0.014886710869403115,
TZA,covs_trend,avg,-0.514977367057874,0.1022112742611311,0.08022436164208385,-0.02198691261904724,-0.2151124010339085,
TZA,covs_trend,avg_md,-0.514977367057874,0.1022112742611311,0.09948165806318604,-0.0027296161979450534,-0.026705627316330915,
TZA,covs_trend,avg_overall,-0.514977367057874,0.1022112742611311,0.009163049074509377,-0.09304822518662172,-0.91035187516497,
TZA,covs_trend,always,-0.514977367057874,-0.2622275101308432,-0.31093594141091097,-0.04870843128006774,-0.1857487464063697,
TZA,covs_trend,always_md,-0.514977367057874,-0.2622275101308432,-0.27123202841145305,-0.00900451828060983,-0.03433857216627218,
TZA,covs_1,never,-0.5227347619246775,0.3040447284142547,0.2799725248912563,-0.02407220352299838,-0.07917323101948506,
TZA,covs_1,never_md,-0.5227347619246775,0.3040447284142547,0.2994683852099438,-0.004576343204310884,-0.015051545962262864,
TZA,covs_1,avg,-0.5227347619246775,0.1023515350197131,0.08000777450832862,-0.02234376051138448,-0.21830410757475235,
TZA,covs_1,avg_md,-0.5227347619246775,0.1023515350197131,0.09950363482701612,-0.002847900192696984,-0.02782469449186544,
TZA,covs_1,avg_overall,-0.5227347619246775,0.1023515350197131,0.009138310971333677,-0.09321322404837942,-0.9107164248237838,
TZA,covs_1,always,-0.5227347619246775,-0.2734562811053978,-0.3236674356232272,-0.05021115451782937,-0.18361675334302,
