country,spec,delta,stata_pt,stata_se,stata_ci95_lo,stata_ci95_hi,md_d_at_min,md_wald_min,md_hull_ci95_lo,md_hull_ci95_hi,md_islands,md_n_islands,md_grid_lo,md_grid_hi
CHN,covs_1,never,0.0898163592419325,0.0281148057936783,0.03471133988632304,0.14492137859754195,0.11000000000000143,22.007674043969992,,,empty,0,-1.5,1.5000000000000027
CHN,covs_1,avg,0.0806629904090172,0.0208533185610874,0.03979048602928589,0.1215354947887485,0.0800000000000014,22.006106499702515,,,empty,0,-1.5,1.5000000000000027
CHN,covs_1,always,0.0588288717954752,0.0458778537475615,-0.031091721549745342,0.14874946514069573,-1.0658141036401503e-13,22.036412974694116,,,empty,0,-5.0,4.999999999999787
CHN,covs_2,never,0.1040594618431757,0.0230322911025801,0.05891617128211871,0.1492027524042327,0.11000000000000143,22.059641030237977,,,empty,0,-1.5,1.5000000000000027
CHN,covs_2,avg,0.0911422850620245,0.0208969784862106,0.050184207229051724,0.13210036289499727,0.09000000000000141,22.024562696789165,,,empty,0,-1.5,1.5000000000000027
CHN,covs_2,always,0.0315587886377624,0.0535419643757455,-0.07338346153869878,0.1365010388142236,-0.04000000000010573,22.06604342048377,,,empty,0,-5.0,4.999999999999787
CHN,covs_all,never,0.0979324974967014,0.0206610572597748,0.05743682526754279,0.13842816972586,0.10000000000000142,20.192335508698932,,,empty,0,-1.5,1.5000000000000027
CHN,covs_all,avg,0.0900385984633068,0.0208639947764969,0.04914516870137287,0.13093202822524072,0.09000000000000141,20.159917602273094,,,empty,0,-1.5,1.5000000000000027
CHN,covs_all,always,0.0329870066793145,0.0498245808368756,-0.06466917176096168,0.13064318511959067,-0.020000000000106155,20.16336786734188,,,empty,0,-5.0,4.999999999999787
TZA,covs_0,never,0.5388091759390597,0.0355687978177845,0.4690943322162021,0.6085240196619174,0.6500000000000021,12.387955739473908,,,empty,0,-1.5,1.5000000000000027
TZA,covs_0,avg,0.0853743974460346,0.0147944178088829,0.056377338540624114,0.11437145635144509,0.060000000000001386,12.484211646848763,,,empty,0,-1.5,1.5000000000000027
TZA,covs_0,always,-138.5785577542026,5950.885788566799,-11802.31470334513,11525.157587836724,1.4199999999998631,12.373179302231295,,,empty,0,-5.0,4.999999999999787
TZA,covs_trend,never,0.3008372345500631,0.0393342592908198,0.22374208634005632,0.3779323827600699,0.3100000000000016,7.302862928543653,0.26000000000000156,0.38000000000000167,"[+0.260, +0.380]",1,-1.5,1.5000000000000027
TZA,covs_trend,avg,0.1022112742611311,0.0144364378884372,0.07391585599979418,0.130506692522468,0.10000000000000142,7.310300250776589,0.09000000000000141,0.12000000000000144,"[+0.090, +0.120]",1,-1.5,1.5000000000000027
TZA,covs_trend,always,-0.2622275101308432,0.1327849565562852,-0.5224860249811623,-0.001968995280524244,-0.32000000000009976,7.300686953339614,-0.6800000000000921,-0.1400000000001036,"[-0.680, -0.140]",1,-5.0,4.999999999999787
TZA,covs_1,never,0.3040447284142547,0.0394930428857658,0.2266383643581537,0.38145109247035563,0.3200000000000016,7.1217630287038975,0.26000000000000156,0.38000000000000167,"[+0.260, +0.380]",1,-1.5,1.5000000000000027
TZA,covs_1,avg,0.1023515350197131,0.0144314132884076,0.07406596497443421,0.130637105064992,0.10000000000000142,7.138829502020537,0.0800000000000014,0.12000000000000144,"[+0.080, +0.120]",1,-1.5,1.5000000000000027
TZA,covs_1,always,-0.2734562811053978,0.1377632284412417,-0.5434722088502315,-0.0034403533605640857,-0.32000000000009976,7.1280777105943365,-0.7400000000000908,-0.1400000000001036,"[-0.740, -0.140]",1,-5.0,4.999999999999787
TZA,covs_2,never,0.3013394300219286,0.0387343889934475,0.22542002759477148,0.3772588324490857,0.3200000000000016,7.31525493474231,0.26000000000000156,0.37000000000000166,"[+0.260, +0.370]",1,-1.5,1.5000000000000027
TZA,covs_2,avg,0.1025076791805745,0.0144376478278519,0.07420988943798479,0.13080546892316422,0.10000000000000142,7.329433368927329,0.09000000000000141,0.12000000000000144,"[+0.090, +0.120]",1,-1.5,1.5000000000000027
TZA,covs_2,always,-0.2886409837607958,0.1460975550893036,-0.5749921917358308,-0.002289775785760728,-0.3600000000000989,7.3634818590454225,-0.78000000000009,-0.16000000000010317,"[-0.780, -0.160]",1,-5.0,4.999999999999787
TZA,covs_all,never,0.26988591565384,0.0334449949637839,0.20433372552482357,0.3354381057828565,0.27000000000000157,4.022358004336025,0.2000000000000015,0.3900000000000017,"[+0.200, +0.390]",1,-1.5,1.5000000000000027
TZA,covs_all,avg,0.1058387668320802,0.0144948712181002,0.0774288192446038,0.1342487144195566,0.11000000000000143,4.109827953245184,0.0800000000000014,0.13000000000000145,"[+0.080, +0.130]",1,-1.5,1.5000000000000027
TZA,covs_all,always,-0.6622157415154941,0.4690457767220043,-1.5815454638906226,0.25711398085963433,-0.7000000000000917,4.024843285113835,-5.0,4.999999999999787,"[-inf, -0.140] U [+1.720, +inf]",2,-5.0,4.999999999999787
