seed,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,t_lo,t_hi,t_cov,t_n_islands
1048,-1.759999999999999,-1.3999999999999986,True,1,1.7200000000000033,2.3400000000000034,True,1,-0.4199999999999986,-0.37999999999999856,False,1,-2.719999999999997,-1.8799999999999963,True,1
1049,-1.4799999999999986,-1.2399999999999984,False,1,1.5400000000000031,1.9400000000000035,False,1,-0.4399999999999986,-0.3999999999999986,True,1,-4.199999999999998,-2.519999999999997,False,1
1050,-1.6599999999999988,-1.3599999999999985,True,1,1.6400000000000032,2.2000000000000037,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.759999999999997,-1.9199999999999964,True,1
1051,-1.6399999999999988,-1.3399999999999985,True,1,1.6600000000000033,2.220000000000004,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.2799999999999976,-2.1599999999999966,True,1
1052,-1.6599999999999988,-1.3399999999999985,True,1,1.7000000000000033,2.2600000000000033,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.0399999999999974,-2.0799999999999965,True,1
1053,-1.6199999999999988,-1.3399999999999985,True,1,1.6400000000000032,2.140000000000004,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.0799999999999974,-2.1199999999999966,True,1
1054,-1.6199999999999988,-1.3399999999999985,True,1,1.8000000000000034,2.3400000000000034,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.4399999999999977,-2.3599999999999968,True,1
1055,-1.6799999999999988,-1.3599999999999985,True,1,1.7200000000000033,2.2600000000000033,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.9599999999999973,-2.0799999999999965,True,1
1056,-1.6599999999999988,-1.3399999999999985,True,1,1.6800000000000033,2.2400000000000038,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.2799999999999976,-2.1599999999999966,True,1
1057,-1.879999999999999,-1.4999999999999987,True,1,1.9800000000000035,2.640000000000004,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-2.639999999999997,-1.9199999999999964,True,1
1058,-1.5599999999999987,-1.2999999999999985,True,1,1.6400000000000032,2.140000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.559999999999998,-2.3199999999999967,True,1
1059,-1.6999999999999988,-1.3599999999999985,True,1,1.7400000000000033,2.360000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.1999999999999975,-2.1199999999999966,True,1
1060,-1.6999999999999988,-1.3599999999999985,True,1,1.7800000000000034,2.360000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.9199999999999973,-1.9999999999999964,True,1
1061,-1.4999999999999987,-1.2399999999999984,False,1,1.5400000000000031,2.0400000000000036,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-4.119999999999998,-2.439999999999997,True,1
1062,-1.759999999999999,-1.4199999999999986,True,1,1.8800000000000034,2.5000000000000036,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.759999999999997,-1.9599999999999964,True,1
1063,-1.799999999999999,-1.4599999999999986,True,1,1.9400000000000035,2.5800000000000036,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.719999999999997,-1.9999999999999964,True,1
1064,-1.759999999999999,-1.4199999999999986,True,1,1.7600000000000033,2.360000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.679999999999997,-1.9199999999999964,True,1
1065,-1.7199999999999989,-1.3799999999999986,True,1,1.7000000000000033,2.320000000000004,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.9199999999999973,-1.9999999999999964,True,1
1066,-1.759999999999999,-1.4199999999999986,True,1,1.8600000000000034,2.4600000000000044,True,1,-0.47999999999999865,-0.4199999999999986,True,1,-2.799999999999997,-1.9599999999999964,True,1
