seed,K,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,a_target,t_lo,t_hi,t_cov,t_n_islands
2061,6,-0.6799999999999979,-0.4399999999999977,True,1,0.06500000000000083,0.17000000000000104,True,1,-0.1049999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.5000000000000533,-0.21000000000005947,True,1
2062,6,-0.5999999999999979,-0.4199999999999977,True,1,0.06000000000000094,0.1450000000000009,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.38000000000005585,-0.20000000000005969,True,1
2063,6,-0.5199999999999978,-0.45999999999999774,True,1,0.10000000000000098,0.130000000000001,False,1,-0.06999999999999917,-0.059999999999999165,False,1,-0.0767857142857143,-0.23000000000005905,-0.1900000000000599,False,1
2064,6,-0.5999999999999979,-0.4199999999999977,True,1,0.06000000000000094,0.1450000000000009,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.3600000000000563,-0.1900000000000599,True,1
2065,6,-0.5399999999999978,-0.2999999999999976,True,1,0.020000000000000906,0.130000000000001,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.31000000000005734,-0.14000000000006096,True,1
2066,6,-0.5199999999999978,-0.33999999999999764,True,1,0.03500000000000103,0.120000000000001,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.2700000000000582,-0.16000000000006054,True,1
2067,6,-0.759999999999998,-0.5199999999999978,False,1,0.10500000000000087,0.21000000000000107,False,1,-0.08999999999999919,-0.059999999999999165,True,1,-0.0767857142857143,-0.7100000000000488,-0.2700000000000582,False,1
2068,6,-0.5399999999999978,-0.3799999999999977,True,1,0.05000000000000093,0.120000000000001,True,1,-0.0949999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.2700000000000582,-0.17000000000006033,True,1
2069,6,,,False,0,,,False,0,,,False,0,-0.0767857142857143,,,False,0
2070,6,-0.739999999999998,-0.45999999999999774,True,1,0.09000000000000097,0.20500000000000096,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.5500000000000522,-0.20000000000005969,True,1
2071,6,-0.5599999999999978,-0.35999999999999766,True,1,0.04500000000000082,0.13500000000000112,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.30000000000005755,-0.15000000000006075,True,1
2072,6,-0.699999999999998,-0.3799999999999977,True,1,0.06000000000000094,0.19500000000000117,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.4300000000000548,-0.16000000000006054,True,1
2073,6,-0.5999999999999979,-0.3999999999999977,True,1,0.07000000000000095,0.15500000000000114,True,1,-0.07499999999999918,-0.04499999999999915,False,1,-0.0767857142857143,-0.3200000000000571,-0.16000000000006054,True,1
2074,6,-0.6599999999999979,-0.3999999999999977,True,1,0.05500000000000105,0.16000000000000103,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.45000000000005436,-0.1800000000000601,True,1
2075,6,-0.6199999999999979,-0.35999999999999766,True,1,0.040000000000000924,0.15500000000000114,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.38000000000005585,-0.16000000000006054,True,1
2076,6,,,False,0,,,False,0,,,False,0,-0.0767857142857143,,,False,0
2077,6,-0.6399999999999979,-0.3799999999999977,True,1,0.05500000000000105,0.17000000000000104,True,1,-0.07999999999999918,-0.04499999999999915,True,1,-0.0767857142857143,-0.4100000000000552,-0.16000000000006054,True,1
2078,6,-0.5399999999999978,-0.3799999999999977,True,1,0.06500000000000083,0.1450000000000009,True,1,-0.07999999999999918,-0.059999999999999165,True,1,-0.0767857142857143,-0.280000000000058,-0.17000000000006033,True,1
2079,6,-0.6399999999999979,-0.45999999999999774,True,1,0.08000000000000096,0.16500000000000092,True,1,-0.0999999999999992,-0.07999999999999918,False,1,-0.0767857142857143,-0.38000000000005585,-0.21000000000005947,True,1
2080,6,-0.6799999999999979,-0.4399999999999977,True,1,0.05500000000000105,0.15000000000000102,True,1,-0.0999999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.5300000000000527,-0.23000000000005905,True,1
2081,6,-0.5599999999999978,-0.33999999999999764,True,1,0.040000000000000924,0.130000000000001,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.30000000000005755,-0.15000000000006075,True,1
2082,6,-0.6199999999999979,-0.4199999999999977,True,1,0.05500000000000105,0.140000000000001,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.39000000000005564,-0.20000000000005969,True,1
2083,6,-0.5799999999999979,-0.4199999999999977,True,1,0.06000000000000094,0.1250000000000009,True,1,-0.08999999999999919,-0.06499999999999917,True,1,-0.0767857142857143,-0.3400000000000567,-0.20000000000005969,True,1
2084,6,-0.6799999999999979,-0.4199999999999977,True,1,0.05500000000000105,0.15500000000000114,True,1,-0.0999999999999992,-0.06999999999999917,True,1,-0.0767857142857143,-0.5000000000000533,-0.22000000000005926,True,1
2085,6,-0.6799999999999979,-0.3999999999999977,True,1,0.06000000000000094,0.18000000000000105,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.4100000000000552,-0.16000000000006054,True,1
2086,6,-0.5799999999999979,-0.3799999999999977,True,1,0.06000000000000094,0.1450000000000009,True,1,-0.08499999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.3400000000000567,-0.1800000000000601,True,1
2087,6,-0.6399999999999979,-0.3999999999999977,True,1,0.05500000000000105,0.15000000000000102,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.39000000000005564,-0.1800000000000601,True,1
2088,6,-0.6599999999999979,-0.3999999999999977,True,1,0.03500000000000103,0.140000000000001,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.5100000000000531,-0.21000000000005947,True,1
2089,6,,,False,0,,,False,0,,,False,0,-0.0767857142857143,,,False,0
2090,6,-0.6799999999999979,-0.3999999999999977,True,1,0.05500000000000105,0.18000000000000105,True,1,-0.0999999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.4800000000000537,-0.1900000000000599,True,1
2091,6,-0.5799999999999979,-0.33999999999999764,True,1,0.030000000000000915,0.130000000000001,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.3400000000000567,-0.15000000000006075,True,1
2092,6,-0.6599999999999979,-0.3799999999999977,True,1,0.06000000000000094,0.17500000000000115,True,1,-0.08999999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.39000000000005564,-0.16000000000006054,True,1
2093,6,-0.699999999999998,-0.4399999999999977,True,1,0.07000000000000095,0.18500000000000094,True,1,-0.0999999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.5500000000000522,-0.22000000000005926,True,1
2094,6,-0.6399999999999979,-0.3799999999999977,True,1,0.05000000000000093,0.16500000000000092,True,1,-0.0949999999999992,-0.05499999999999916,True,1,-0.0767857142857143,-0.45000000000005436,-0.1800000000000601,True,1
2095,6,-0.5399999999999978,-0.45999999999999774,True,1,0.09000000000000097,0.1250000000000009,True,1,-0.06499999999999917,-0.05499999999999916,False,1,-0.0767857142857143,-0.2600000000000584,-0.1900000000000599,True,1
2096,6,-0.5799999999999979,-0.3799999999999977,True,1,0.05000000000000093,0.1450000000000009,True,1,-0.0949999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.3200000000000571,-0.17000000000006033,True,1
2097,6,-0.5399999999999978,-0.35999999999999766,True,1,0.06000000000000094,0.1450000000000009,True,1,-0.08499999999999919,-0.05499999999999916,True,1,-0.0767857142857143,-0.280000000000058,-0.15000000000006075,True,1
2098,6,-0.5999999999999979,-0.35999999999999766,True,1,0.04500000000000082,0.15500000000000114,True,1,-0.0949999999999992,-0.059999999999999165,True,1,-0.0767857142857143,-0.3400000000000567,-0.16000000000006054,True,1
2099,6,-0.5799999999999979,-0.35999999999999766,True,1,0.040000000000000924,0.1450000000000009,True,1,-0.1049999999999992,-0.06499999999999917,True,1,-0.0767857142857143,-0.3600000000000563,-0.17000000000006033,True,1
