estname,N_base,N_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
grc_idn_cub_c1_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c2,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c2_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c2_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c2_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_c2_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ca,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ca_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ca_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ca_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ca_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ct,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ct_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ct_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ct_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cub_ct_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c1,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c1_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c1_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c1_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c1_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c2,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c2_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c2_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c2_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_c2_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ca,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ca_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ca_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ca_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ca_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ct,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ct_a,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ct_d,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ct_g,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_ct_n,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c1,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c1_a,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c1_d,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c1_g,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c1_n,92450,92450,1,1,0.0000000000000000e+00,PASS_BITWISE
