table,panel,row,col,old,new,delta
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,1,23481,23282,-199.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,2,23481,23282,-199.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,3,23481,23282,-199.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,4,23481,23282,-199.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,5,232,224,-8.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Observations,6,23481,23282,-199.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,1,10095,10014,-81.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,2,10095,10014,-81.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,3,10095,10014,-81.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,4,10095,10014,-81.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,5,58,56,-2.000
OLS_CHN_hukou_rural_only_income_urban_unb.tex,China,Individuals,6,10095,10014,-81.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,1,0.219,0.246,+0.027
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,2,0.218,0.245,+0.027
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,3,0.200,0.234,+0.034
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,4,0.151,0.180,+0.029
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,5,0.047,0.025,-0.022
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Urban,6,0.042,0.053,+0.011
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,1,14364,14364,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,2,14364,14364,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,3,14364,14364,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,4,14364,14364,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,5,376,376,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Observations,6,14364,14364,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,1,3591,3591,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,2,3591,3591,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,3,3591,3591,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,4,3591,3591,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,5,94,94,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_bal.tex,China,Individuals,6,3591,3591,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,1,0.251,0.289,+0.038
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,2,0.250,0.287,+0.037
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,3,0.243,0.283,+0.040
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,4,0.198,0.234,+0.036
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,5,0.047,0.025,-0.022
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Urban,6,0.143,0.172,+0.029
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,1,28264,28264,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,2,28264,28264,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,3,28264,28264,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,4,28264,28264,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,5,376,376,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Observations,6,28264,28264,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,1,9024,9024,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,2,9024,9024,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,3,9024,9024,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,4,9024,9024,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,5,94,94,+0.000
OLS_CHN_hukou_urban_first_consumption_urban_unb.tex,China,Individuals,6,9024,9024,+0.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,1,0.187,0.228,+0.041
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,2,0.240,0.280,+0.040
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,3,0.211,0.254,+0.043
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,4,0.139,0.180,+0.041
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,5,-0.237,-0.150,+0.087
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Urban,6,0.100,0.147,+0.047
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,1,15567,15482,-85.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,2,15567,15482,-85.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,3,15567,15482,-85.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,4,15567,15482,-85.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,5,52,48,-4.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Observations,6,15567,15482,-85.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,1,6245,6212,-33.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,2,6245,6212,-33.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,3,6245,6212,-33.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,4,6245,6212,-33.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,5,13,12,-1.000
OLS_CHN_hukou_urban_first_income_urban_unb.tex,China,Individuals,6,6245,6212,-33.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,1,0.190,0.212,+0.022
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,2,0.189,0.210,+0.021
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,3,0.169,0.198,+0.029
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,4,0.127,0.152,+0.025
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,5,0.038,0.015,-0.023
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Urban,6,0.034,0.039,+0.005
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,1,13336,13336,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,2,13336,13336,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,3,13336,13336,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,4,13336,13336,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,5,316,316,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Observations,6,13336,13336,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,1,3334,3334,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,2,3334,3334,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,3,3334,3334,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,4,3334,3334,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,5,79,79,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_bal.tex,China,Individuals,6,3334,3334,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,1,0.216,0.254,+0.038
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,2,0.214,0.252,+0.038
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,3,0.206,0.247,+0.041
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,4,0.166,0.203,+0.037
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,5,0.038,0.015,-0.023
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Urban,6,0.131,0.152,+0.021
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,1,26155,26155,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,2,26155,26155,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,3,26155,26155,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,4,26155,26155,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,5,316,316,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Observations,6,26155,26155,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,1,8366,8366,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,2,8366,8366,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,3,8366,8366,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,4,8366,8366,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,5,79,79,+0.000
OLS_CHN_hukou_urban_only_consumption_urban_unb.tex,China,Individuals,6,8366,8366,+0.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,1,0.177,0.216,+0.039
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,2,0.227,0.266,+0.039
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,3,0.195,0.238,+0.043
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,4,0.132,0.173,+0.041
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,5,-0.188,-0.282,-0.094
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Urban,6,0.166,0.199,+0.033
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,1,14553,14475,-78.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,2,14553,14475,-78.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,3,14553,14475,-78.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,4,14553,14475,-78.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,5,36,32,-4.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Observations,6,14553,14475,-78.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,1,5830,5800,-30.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,2,5830,5800,-30.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,3,5830,5800,-30.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,4,5830,5800,-30.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,5,9,8,-1.000
OLS_CHN_hukou_urban_only_income_urban_unb.tex,China,Individuals,6,5830,5800,-30.000
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,1,0.405,0.390,-0.015
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,2,0.405,0.390,-0.015
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,3,0.407,0.400,-0.007
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,4,0.240,0.237,-0.003
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,5,0.084,0.080,-0.004
OLS_consumption_nonag_unb.tex,Indonesia,Non-agricultural employment,6,0.075,0.088,+0.013
OLS_consumption_nonag_unb.tex,Indonesia,Observations,1,69683,69356,-327.000
OLS_consumption_nonag_unb.tex,Indonesia,Observations,2,69683,69356,-327.000
OLS_consumption_nonag_unb.tex,Indonesia,Observations,3,69683,69356,-327.000
OLS_consumption_nonag_unb.tex,Indonesia,Observations,4,69683,69356,-327.000
OLS_consumption_nonag_unb.tex,Indonesia,Observations,5,5330,5295,-35.000
OLS_consumption_nonag_unb.tex,Indonesia,Observations,6,69683,69356,-327.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,1,22217,22122,-95.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,2,22217,22122,-95.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,3,22217,22122,-95.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,4,22217,22122,-95.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,5,1066,1059,-7.000
OLS_consumption_nonag_unb.tex,Indonesia,Individuals,6,22217,22122,-95.000
OLS_consumption_urban_bal.tex,Indonesia,Urban,1,0.294,0.276,-0.018
OLS_consumption_urban_bal.tex,Indonesia,Urban,2,0.293,0.275,-0.018
OLS_consumption_urban_bal.tex,Indonesia,Urban,3,0.292,0.275,-0.017
OLS_consumption_urban_bal.tex,Indonesia,Urban,4,0.172,0.154,-0.018
OLS_consumption_urban_bal.tex,Indonesia,Urban,5,0.076,0.070,-0.006
OLS_consumption_urban_bal.tex,Indonesia,Urban,6,0.025,0.022,-0.003
OLS_consumption_urban_bal.tex,Indonesia,Observations,1,16420,16275,-145.000
OLS_consumption_urban_bal.tex,Indonesia,Observations,2,16420,16275,-145.000
OLS_consumption_urban_bal.tex,Indonesia,Observations,3,16420,16275,-145.000
OLS_consumption_urban_bal.tex,Indonesia,Observations,4,16420,16275,-145.000
OLS_consumption_urban_bal.tex,Indonesia,Observations,5,6635,6555,-80.000
OLS_consumption_urban_bal.tex,Indonesia,Observations,6,16420,16275,-145.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,1,3284,3255,-29.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,2,3284,3255,-29.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,3,3284,3255,-29.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,4,3284,3255,-29.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,5,1327,1311,-16.000
OLS_consumption_urban_bal.tex,Indonesia,Individuals,6,3284,3255,-29.000
OLS_consumption_urban_bal.tex,China,Urban,1,0.401,0.450,+0.049
OLS_consumption_urban_bal.tex,China,Urban,2,0.401,0.450,+0.049
OLS_consumption_urban_bal.tex,China,Urban,3,0.398,0.448,+0.050
OLS_consumption_urban_bal.tex,China,Urban,4,0.277,0.316,+0.039
OLS_consumption_urban_bal.tex,China,Urban,5,0.039,0.030,-0.009
OLS_consumption_urban_bal.tex,China,Urban,6,0.073,0.090,+0.017
