cell,traj_for_agg,pi_d,dbar_d,dbar0_d,delta_point_varA,delta_point_varB,contrib_gap_varA,contrib_gap_varB,contrib_value_d0,contrib_value_allrural_varA,contrib_value_allrural_varB
IDN,24,0.0039069078171837,0.800000011920929,1.0,-0.0381866107642664,-0.0381866107642664,0.00011935325626383301,0.00011935325626383301,2.9838311842830646e-05,-0.000119353256263833,-0.000119353256263833
IDN,25,0.0009430467144926,0.4000000059604645,1.0,-0.0275238236388052,-0.0275238236388052,1.0382500735850914e-05,1.0382500735850914e-05,1.5573750716998085e-05,-1.0382500735850916e-05,-1.0382500735850916e-05
IDN,26,0.0003704826378364,0.6000000238418579,1.0,0.0191963832078025,0.0191963832078025,2.844770505536472e-06,2.844770505536472e-06,-2.844770505536472e-06,4.267156182208572e-06,4.267156182208572e-06
IDN,28,0.0019197736687885,0.800000011920929,1.0,-0.070366862300387,-0.070366862300387,0.0001080707611300191,0.0001080707611300191,2.701768826953002e-05,-0.0001080707611300191,-0.0001080707611300191
IDN,29,0.000875686234886,0.6000000238418579,1.0,0.0331184619166927,0.0331184619166927,1.1600551796970794e-05,1.1600551796970794e-05,-1.1600551796970794e-05,1.7400829424073215e-05,1.7400829424073215e-05
IDN,30,0.0013808898319356,0.800000011920929,1.0,-0.100246510778304,-0.100246510778304,0.00011074351158683292,0.00011074351158683292,2.7685875833949612e-05,-0.00011074351158683291,-0.00011074351158683291
IDN,31,0.0006399245562628,0.800000011920929,1.0,-0.0851009196737854,-0.0851009196737854,4.35665352570346e-05,4.35665352570346e-05,1.0891633002768706e-05,-4.35665352570346e-05,-4.35665352570346e-05
IDN,32,0.0268094708834327,1.0,1.0,-0.10855262,0.0,0.0029102383052103343,0.0,0.0,-0.0029102383052103343,0.0
TZA,-1,0.2878292461398728,0.350373409070138,0.3376459450930893,0.504663326720491,0.504663326720491,0.09436272194401188,0.09436272194401188,0.0018487515152352159,0.05089414294038738,0.05089414294038738
TZA,1,0.410172570390554,0.0,0.0,0.26974919,0.26974919,0.11064371862306993,0.11064371862306993,0.0,0.0,0.0
TZA,2,0.0408719346049046,0.3333333432674408,0.0,0.134382894050726,0.134382894050726,0.003661659183876423,0.003661659183876423,0.0018308296737826735,0.0018308296737826735,0.0018308296737826735
TZA,4,0.001544050862852,0.6666666865348816,0.0,0.1845109395181112,0.1845109395181112,9.496475279585025e-05,9.496475279585025e-05,0.00018992952257272254,0.00018992952257272254,0.00018992952257272254
TZA,5,0.0025431425976385,0.3333333432674408,1.0,0.1189164397239538,0.1189164397239538,0.00020161430594337797,0.00020161430594337797,-0.00020161430594337797,0.00010080715747811997,0.00010080715747811997
TZA,6,0.0017257039055404,0.6666666865348816,1.0,-0.2453871310391423,-0.2453871310391423,0.00028231036201590534,0.00028231036201590534,0.00014115516838769643,-0.00028231036201590534,-0.00028231036201590534
TZA,7,0.0565849227974569,0.6666666865348816,1.0,0.0921753180141856,0.0921753180141856,0.0017385776475939343,0.0017385776475939343,-0.0017385776475939343,0.0034771556060697963,0.0034771556060697963
TZA,8,0.1987284287011807,1.0,1.0,-0.65960884,0.0,0.1310830283306085,0.0,0.0,-0.1310830283306085,0.0
CHN_rf,-1,0.5842061904201483,0.3431820226350428,0.3066747246843943,0.28817865659141684,0.28817865659141684,0.11057908656070478,0.11057908656070478,0.006146213714152196,0.057776668566963015,0.057776668566963015
CHN_rf,1,0.2720960338943156,0.0,0.0,0.10550323,0.10550323,0.028707010446039773,0.028707010446039773,0.0,0.0,0.0
CHN_rf,2,0.0161233376485819,0.25,0.0,0.1046525689896756,0.1046525689896756,0.0012655115292090385,0.0012655115292090385,0.0004218371764030129,0.0004218371764030129,0.0004218371764030129
CHN_rf,3,0.0025499195794594,0.25,0.0,0.1016636626902547,0.1016636626902547,0.00019442562301007742,0.00019442562301007742,6.480854100335914e-05,6.480854100335914e-05,6.480854100335914e-05
CHN_rf,4,0.0090227923580872,0.5,0.0,0.1007871788604853,0.1007871788604853,0.0004546908936077773,0.0004546908936077773,0.0004546908936077773,0.0004546908936077773,0.0004546908936077773
CHN_rf,5,0.0003530657879252,0.25,0.0,0.112083500225038,0.112083500225038,2.967963699027553e-05,2.967963699027553e-05,9.893212330091843e-06,9.893212330091843e-06,9.893212330091843e-06
CHN_rf,8,0.0102389078498294,0.75,0.0,0.1086075775278276,0.1086075775278276,0.0002780057445251572,0.0002780057445251572,0.000834017233575472,0.000834017233575472,0.000834017233575472
CHN_rf,9,0.0004315248519085,0.25,1.0,0.1047148121768199,0.1047148121768199,3.389028286292145e-05,3.389028286292145e-05,-3.389028286292145e-05,1.129676095430715e-05,1.129676095430715e-05
