estname,n_base,n_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict,gate_fail
vv_chn_ts_covs_0,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_0_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_0_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_0_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_0_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_1,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_1_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_1_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_1_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_1_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_2,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_2_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_2_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_2_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_2_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_all,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_all_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_all_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_all_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_all_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_trend,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_trend_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_trend_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_trend_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_ts_covs_trend_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_0,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_0_a,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_0_d,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_0_g,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_0_n,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_1,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_1_a,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_1_d,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_1_g,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_1_n,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_2,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_2_a,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_2_d,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_2_g,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_2_n,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_all,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_all_a,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_all_d,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_all_g,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_all_n,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_trend,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_trend_a,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_trend_d,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_trend_g,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_os_covs_trend_n,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_0,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_0_a,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_0_d,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_0_g,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_0_n,92150,92150,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_1,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_1_a,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_1_d,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_1_g,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_idn_ts_covs_1_n,92139,92139,1,1,0.0000000000000000e+00,PASS_BITWISE,0
